hexal_id,receptor_channel,raytracer_receptor_type,node_id,node_type,u,v,frame_id,global_indices,lens_indices,receptor_type,position_x_um,position_y_um,position_z_um,direction_x,direction_y,direction_z,colours_r_uv,colours_g,colours_b,intensity,matched
168,5,5,3773,R6,-7,4,1,1181,168,5,-314.7037658691406,209.13352966308597,-44.18553924560547,-0.2693766355514526,0.9048464298248292,-0.3296804428100586,0.0249091777950525,0.0670422613620758,0.1910991221666336,0.0943501889705658,True
168,6,6,4494,R7,-7,4,1,1182,168,6,-314.7037658691406,209.13352966308597,-44.18553924560547,-0.3493566513061523,0.890545666217804,-0.2913389503955841,0.0200566165149211,0.0122990468516945,0.1120792254805564,0.0481449626386165,True
168,7,6,5215,R8,-7,4,1,1182,168,6,-314.7037658691406,209.13352966308597,-44.18553924560547,-0.3493566513061523,0.890545666217804,-0.2913389503955841,0.0200566165149211,0.0122990468516945,0.1120792254805564,0.0481449626386165,True
169,0,0,169,R1,-7,5,1,1183,169,0,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.2798663973808288,0.9292424917221068,-0.2412119656801223,0.0200984328985214,0.0590898245573043,0.1755752563476562,0.0849211737513542,True
169,1,1,890,R2,-7,5,1,1184,169,1,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.3534126579761505,0.8906834721565247,-0.285976231098175,0.0196235310286283,0.0602863505482673,0.1829674541950225,0.0876257792115211,True
169,2,2,1611,R3,-7,5,1,1185,169,2,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.4162537753582001,0.8453733921051025,-0.3347784578800201,0.0206685699522495,0.064302884042263,0.1958155781030655,0.0935956835746765,True
169,3,3,2332,R4,-7,5,1,1186,169,3,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.3350277841091156,0.8643879890441895,-0.3749530613422394,0.0200816001743078,0.0623947530984878,0.1901551038026809,0.0908771529793739,True
169,4,4,3053,R5,-7,5,1,1187,169,4,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.2536300718784332,0.8749215006828308,-0.4125338494777679,0.0581917949020862,0.106092557311058,0.2347895056009292,0.1330246180295944,True
169,5,5,3774,R6,-7,5,1,1188,169,5,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.1869013607501983,0.9119584560394288,-0.3652392029762268,0.1296022236347198,0.1847008764743805,0.309795469045639,0.2080328464508056,True
169,6,6,4495,R7,-7,5,1,1189,169,6,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.2692164778709411,0.9047901034355164,-0.3299657106399536,0.0196793507784605,0.0119638666510581,0.1080644354224205,0.0465692169964313,True
169,7,6,5216,R8,-7,5,1,1189,169,6,-297.6177978515625,212.9475555419922,-50.1630973815918,-0.2692164778709411,0.9047901034355164,-0.3299657106399536,0.0196793507784605,0.0119638666510581,0.1080644354224205,0.0465692169964313,True
170,0,0,170,R1,-7,6,1,1190,170,0,-280.41552734375,215.29771423339844,-55.358154296875,-0.1996628195047378,0.94035142660141,-0.2754522562026977,0.0514553859829902,0.0938083678483963,0.2065629512071609,0.1172755733132362,True
170,1,1,891,R2,-7,6,1,1191,170,1,-280.41552734375,215.29771423339844,-55.358154296875,-0.2749147713184356,0.9062920808792114,-0.3210241198539734,0.0211968831717968,0.0599116869270801,0.1743950098752975,0.0851678624749183,True
170,2,2,1612,R3,-7,6,1,1192,170,2,-280.41552734375,215.29771423339844,-55.358154296875,-0.3399332165718078,0.8645431399345398,-0.3701494038105011,0.0190035589039325,0.0590014867484569,0.1798416674137115,0.0859489068388938,True
170,3,3,2333,R4,-7,6,1,1193,170,3,-280.41552734375,215.29771423339844,-55.358154296875,-0.2565069794654846,0.8758915662765503,-0.4086785018444061,0.0522852279245853,0.0973663851618766,0.2190263122320175,0.122892640531063,True
170,4,4,3054,R5,-7,6,1,1194,170,4,-280.41552734375,215.29771423339844,-55.358154296875,-0.1736424416303634,0.8788560032844543,-0.4443651437759399,0.1406128108501434,0.1971201300621032,0.3213257193565368,0.2196862250566482,True
170,5,5,3775,R6,-7,6,1,1195,170,5,-280.41552734375,215.29771423339844,-55.358154296875,-0.10536640137434,0.9120104312896729,-0.396402508020401,0.2669077217578888,0.3307265341281891,0.4449756443500519,0.3475366532802582,True
170,6,6,4496,R7,-7,6,1,1196,170,6,-280.41552734375,215.29771423339844,-55.358154296875,-0.1888234168291092,0.9123992919921876,-0.3631435036659241,0.0935279205441474,0.0287313144654035,0.1581044495105743,0.0934545621275901,True
170,7,6,5217,R8,-7,6,1,1196,170,6,-280.41552734375,215.29771423339844,-55.358154296875,-0.1888234168291092,0.9123992919921876,-0.3631435036659241,0.0935279205441474,0.0287313144654035,0.1581044495105743,0.0934545621275901,True
171,0,0,171,R1,-7,7,1,1197,171,0,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.119073785841465,0.9454814791679382,-0.3031274080276489,0.2071152329444885,0.2575677633285522,0.3577249050140381,0.2741359770298004,True
171,1,1,892,R2,-7,7,1,1198,171,1,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.1936202198266983,0.9155319333076476,-0.3525798320770263,0.0971155390143394,0.1432365179061889,0.2514259815216064,0.1639260202646255,True
171,2,2,1613,R3,-7,7,1,1199,171,2,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.2582828998565674,0.8771572709083557,-0.4048272371292114,0.0421655885875225,0.0827709734439849,0.1936735659837722,0.1062033772468566,True
171,3,3,2334,R4,-7,7,1,1200,171,3,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.1721451133489608,0.8821280002593994,-0.4384247064590454,0.1433370411396026,0.19490347802639,0.3064976334571838,0.2149127125740051,True
171,4,4,3055,R5,-7,7,1,1201,171,4,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.0873009487986564,0.8788326382637024,-0.4690754413604736,0.1987964510917663,0.2558359503746032,0.3647154569625854,0.2731159627437591,True
171,5,5,3776,R6,-7,7,1,1202,171,5,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.0199049916118383,0.90839284658432,-0.4176436960697174,0.2848704755306244,0.3464672565460205,0.4464325606822967,0.359256774187088,True
171,6,6,4497,R7,-7,7,1,1203,171,6,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.1049690768122673,0.9150213599205016,-0.3895092010498047,0.2782139182090759,0.067307636141777,0.2627169191837311,0.2027461528778076,True
171,7,6,5218,R8,-7,7,1,1203,171,6,-262.3773498535156,216.4730224609375,-59.5342025756836,-0.1049690768122673,0.9150213599205016,-0.3895092010498047,0.2782139182090759,0.067307636141777,0.2627169191837311,0.2027461528778076,True
172,0,0,172,R1,-7,8,1,1204,172,0,-240.9825134277344,216.99432373046875,-61.31915283203125,-0.0203988775610923,0.9488173723220824,-0.3151657581329345,0.3516455888748169,0.4008043706417084,0.4786258935928345,0.4103586375713348,True
172,1,1,893,R2,-7,8,1,1205,172,1,-240.9825134277344,216.99432373046875,-61.31915283203125,-0.0955826640129089,0.9252742528915404,-0.3670579791069031,0.2326478958129882,0.2855875194072723,0.3795293569564819,0.2992549240589142,True
172,2,2,1614,R3,-7,8,1,1206,172,2,-240.9825134277344,216.99432373046875,-61.31915283203125,-0.16160948574543,0.8924006223678589,-0.421311616897583,0.1583013534545898,0.2074579149484634,0.3085687458515167,0.2247759848833084,True
172,3,3,2335,R4,-7,8,1,1207,172,3,-240.9825134277344,216.99432373046875,-61.31915283203125,-0.0742386355996131,0.8890358805656433,-0.4517784714698791,0.2159126698970794,0.2697623372077942,0.3674042820930481,0.2843597829341888,True
172,4,4,3056,R5,-7,8,1,1208,172,4,-240.9825134277344,216.99432373046875,-61.31915283203125,0.0109767904505133,0.8775940537452698,-0.4792788326740265,0.2112090140581131,0.2685484886169433,0.3667364716529846,0.2821646630764007,True
172,5,5,3777,R6,-7,8,1,1209,172,5,-240.9825134277344,216.99432373046875,-61.31915283203125,0.0789387300610542,0.9014301896095276,-0.4256668090820312,0.2362403720617294,0.2908993065357208,0.3857544362545013,0.3042980432510376,True
172,6,6,4498,R7,-7,8,1,1210,172,6,-240.9825134277344,216.99432373046875,-61.31915283203125,-0.0060981581918895,0.9161816835403442,-0.4007167220115661,0.2840683162212372,0.0681061074137687,0.2576812207698822,0.2032852172851562,True
172,7,6,5219,R8,-7,8,1,1210,172,6,-240.9825134277344,216.99432373046875,-61.31915283203125,-0.0060981581918895,0.9161816835403442,-0.4007167220115661,0.2840683162212372,0.0681061074137687,0.2576812207698822,0.2032852172851562,True
173,0,0,173,R1,-7,9,1,1211,173,0,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.3216069042682647,-0.084736444056034,0.943074107170105,0.1408829391002655,0.0789519622921943,0.0519699603319168,0.090601623058319,True
173,1,1,894,R2,-7,9,1,1212,173,1,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.4081717133522033,-0.0661485865712165,0.910505473613739,0.1962704509496688,0.1321349292993545,0.0894163995981216,0.139273926615715,True
173,2,2,1615,R3,-7,9,1,1213,173,2,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.4897679388523102,-0.0569751113653183,0.8699892163276672,0.2030922621488571,0.1363735049962997,0.09408750385046,0.1445177644491195,True
173,3,3,2336,R4,-7,9,1,1214,173,3,-334.08795166015625,-42.99578094482422,163.49815368652344,-0.4548169672489166,-0.1422255337238311,0.8791549205780029,0.1159523949027061,0.0599213801324367,0.0299060735851526,0.0685932859778404,True
